date,987,379,200,438,428,348,29,149,380,114,117,89,257,430,342,102,73,435,502,514,252
1906,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
1954,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,1,3,0,0,0,0,0,5,5,0,0,0,0,2
1962,0,0,0,0,0,0,0,5,8,2,0,0,0,0,8,4,0,0,3,0,0
1964,0,0,1,0,0,1,0,25,3,0,0,6,0,0,7,14,0,0,3,2,1
1966,0,0,0,0,45,2,27,2,0,4,0,50,0,0,3,6,0,0,0,0,0
1968,0,0,0,0,0,1,0,10,0,9,0,3,2,0,8,16,1,0,1,7,5
1970,5,0,2,1,9,8,3,7,1,2,4,2,3,9,7,21,8,0,2,3,18
1972,28,0,25,1,133,8,37,18,12,11,14,5,22,44,17,28,43,10,27,44,168
1974,105,58,195,19,506,101,439,58,19,125,46,61,144,198,70,88,321,78,228,320,634
1976,106,71,288,45,694,146,673,50,27,209,55,66,179,235,87,94,474,121,188,304,657
1978,151,78,366,52,831,142,654,56,15,288,57,97,183,234,104,83,492,120,218,409,913
1980,179,84,288,83,836,233,778,67,26,176,49,99,266,243,122,90,622,180,211,346,795
1982,299,144,271,67,804,292,663,68,21,175,62,90,219,307,92,98,592,120,189,275,749
1984,180,115,246,82,1008,283,881,123,37,150,42,114,348,161,95,76,752,216,175,535,909
1986,492,152,371,185,1046,369,1153,48,49,214,124,183,479,367,101,137,836,365,216,624,1260
1988,1807,190,426,146,1701,502,1377,63,89,290,121,188,485,349,167,106,1110,308,320,1056,1001
1990,2126,220,411,394,3904,529,1520,43,65,318,109,208,797,669,150,143,1247,353,424,1236,2082
1992,0,260,565,426,1598,547,1590,102,126,203,193,158,914,613,184,179,1286,406,21814,417,1455
1994,4,392,535,355,3315,616,1929,108,120,322,205,154,1228,735,231,272,1553,632,377,4545,1822
1996,3,516,781,24096,4149,5996,2507,71,432,885,460,171,1971,1711,228,324,1545,891,457,2040,2421
1998,548,788,861,1503,8759,8742,6134,424,579,293,270,256,1624,967,290,585,2047,9228,1374,127812,6732
2000,4,1733,819,1184,7564,5488,5328,342,5702,269,400,932,150546,3176,563,8505,2990,7017,746,18772,4675
2002,1038,1874,1300,3408,14428,13449,8379,504,1808,734,1232,254,19901,7927,885,338,75320,17084,1513,7053,8201
2004,0,4149,15550,4251,39369,62959,10029,3491,5570,1423,1036,525,17173,7930,3600,840,13109,27483,5331,38960,9329
2006,0,49860,3262,17987,58024,32182,26789,181,7405,7877,10857,1248,35797,15030,5525,496,16891,127969,13799,62968,20246
2008,0,6860,6624,159217,84546,12342,64000,147,2349,3026,2703,5575,192610,13818,4458,2871,28498,29876,11244,75439,33130
2010,0,807,1216,1399,5200,2377,3371,0,14,488,503,628,6299,82336,20694,993,3666,44575,6908,31787,4175
